timestamp_ms,x,y,event_type,button,dx,dy
695752970,1774,1411,move,,0,0
695752978,1771,1410,move,,0,0
695752986,1768,1409,move,,0,0
695752994,1763,1408,move,,0,0
695753002,1760,1407,move,,0,0
695753010,1757,1406,move,,0,0
695753018,1752,1405,move,,0,0
695753026,1747,1403,move,,0,0
695753034,1743,1402,move,,0,0
695753042,1736,1401,move,,0,0
695753050,1728,1400,move,,0,0
695753058,1719,1398,move,,0,0
695753066,1709,1397,move,,0,0
695753074,1699,1395,move,,0,0
695753082,1688,1394,move,,0,0
695753090,1678,1392,move,,0,0
695753098,1668,1391,move,,0,0
695753106,1658,1389,move,,0,0
695753114,1645,1388,move,,0,0
695753122,1635,1386,move,,0,0
695753130,1625,1385,move,,0,0
695753138,1615,1385,move,,0,0
695753146,1606,1383,move,,0,0
695753154,1598,1382,move,,0,0
695753162,1591,1381,move,,0,0
695753170,1587,1381,move,,0,0
695753178,1584,1381,move,,0,0
695753186,1581,1380,move,,0,0
695753194,1580,1380,move,,0,0
695753202,1579,1380,move,,0,0
695753210,1578,1380,move,,0,0
695753234,1577,1380,move,,0,0
695755626,1577,1380,move,,0,0
695755634,1579,1380,move,,0,0
695755642,1582,1381,move,,0,0
695755650,1585,1382,move,,0,0
695755658,1589,1383,move,,0,0
695755666,1593,1384,move,,0,0
695755674,1600,1385,move,,0,0
695755682,1608,1387,move,,0,0
695755690,1619,1390,move,,0,0
695755698,1631,1391,move,,0,0
695755706,1645,1395,move,,0,0
695755714,1658,1399,move,,0,0
695755722,1670,1404,move,,0,0
695755730,1683,1409,move,,0,0
695755738,1696,1415,move,,0,0
695755746,1710,1420,move,,0,0
695755754,1725,1423,move,,0,0
695755762,1737,1426,move,,0,0
695755770,1749,1429,move,,0,0
695755778,1760,1431,move,,0,0
695755786,1766,1432,move,,0,0
695755794,1771,1433,move,,0,0
695755802,1773,1434,move,,0,0
695755810,1774,1434,move,,0,0
695755826,1774,1435,move,,0,0
695755834,1772,1437,move,,0,0
695755842,1767,1440,move,,0,0
695755850,1758,1442,move,,0,0
695755858,1746,1447,move,,0,0
695755866,1730,1450,move,,0,0
695755874,1709,1454,move,,0,0
695755882,1687,1457,move,,0,0
695755890,1660,1461,move,,0,0
695755898,1629,1465,move,,0,0
695755906,1595,1470,move,,0,0
695755914,1561,1472,move,,0,0
695755922,1527,1474,move,,0,0
695755930,1493,1476,move,,0,0
695755938,1461,1476,move,,0,0
695755946,1428,1476,move,,0,0
695755954,1399,1476,move,,0,0
695755962,1377,1476,move,,0,0
695755970,1359,1476,move,,0,0
695755978,1345,1475,move,,0,0
695755986,1335,1474,move,,0,0
695755994,1329,1474,move,,0,0
695756002,1327,1473,move,,0,0
695756010,1326,1473,move,,0,0
695756018,1325,1473,move,,0,0
695756034,1325,1472,move,,0,0
695756042,1325,1470,move,,0,0
695756050,1328,1468,move,,0,0
695756058,1332,1464,move,,0,0
695756066,1337,1460,move,,0,0
695756074,1342,1457,move,,0,0
